ad_id;anno_esame;ses_id;num_iscritti
10252;2017;3;2
10252;2019;1;0
10252;2019;1;0
10252;2020;2;6
10252;2020;2;18
10252;2020;2;9
10252;2020;4;4
10252;2020;3;5
10252;2014;3;7
10252;2014;2;11
10252;2014;2;16
10252;2014;3;15
10252;2015;5;0
10252;2020;5;0
10253;2014;4;7
10253;2017;1;4
10253;2017;1;8
10253;2015;4;13
10253;2020;1;2
10253;2015;3;14
10253;2015;3;12
10253;2015;2;12
10253;2018;2;15
10253;2018;2;5
10253;2018;3;6
10253;2018;3;2
10253;2018;4;7
10253;2021;5;2
10253;2015;1;4
10253;2015;1;1
10253;2016;3;5
10253;2016;3;0
10253;2016;3;5
10253;2016;4;6
10253;2018;1;3
10253;2018;1;1
10253;2019;5;0
10253;2019;4;7
10253;2021;1;3
10253;2021;1;2
10253;2021;1;1
10253;2014;1;0
10253;2016;2;19
10253;2016;2;19
10253;2019;3;3
10253;2019;2;0
10253;2019;2;8
10253;2019;3;9
10253;2020;4;2
10253;2016;1;5
10253;2016;1;3
10253;2017;3;14
10253;2017;4;11
10253;2019;1;0
10253;2019;1;3
10253;2014;2;12
10253;2014;2;25
10253;2014;3;11
10253;2014;3;8
10253;2015;5;0
10253;2016;1;0
10253;2017;2;7
10253;2017;2;2
10253;2020;2;3
5645;2014;4;8
5645;2014;3;8
5645;2017;1;10
5645;2017;1;6
5645;2015;4;12
5645;2018;5;4
5645;2020;1;4
5645;2020;1;3
5645;2020;1;0
5645;2015;2;16
5645;2015;3;4
5645;2015;3;9
5645;2017;2;14
5645;2017;2;5
5645;2018;2;4
5645;2018;2;10
5645;2018;4;19
5645;2018;3;5
5645;2018;3;17
5645;2021;5;5
5645;2015;1;1
5645;2015;1;13
5645;2016;3;3
5645;2016;3;0
5645;2016;3;10
5645;2016;4;17
5645;2018;1;3
5645;2018;1;6
5645;2019;5;0
5645;2019;4;6
5645;2014;1;10
5645;2016;2;4
5645;2016;2;4
5645;2019;2;8
5645;2019;3;3
5645;2019;3;5
5645;2020;4;0
5645;2021;1;8
5645;2021;1;7
5645;2021;1;6
5645;2017;3;9
5645;2017;4;10
5645;2017;3;13
5645;2019;1;6
5645;2019;1;7
5645;2014;2;15
5645;2014;3;9
5645;2015;5;6
5645;2016;1;9
5645;2016;1;0
10668;2014;4;1
10668;2017;1;1
10668;2015;4;11
10668;2018;5;1
10668;2020;1;0
10668;2020;1;0
10668;2020;1;1
10668;2015;3;4
10668;2015;3;14
10668;2015;2;12
10668;2017;2;11
10668;2018;2;10
10668;2018;2;7
10668;2018;3;5
10668;2018;3;5
10668;2018;4;2
10668;2021;2;6
10668;2021;5;0
10668;2015;1;0
10668;2015;1;2
10668;2016;3;5
10668;2016;3;9
10668;2018;1;0
10668;2018;1;6
10668;2019;5;0
10668;2019;4;1
10668;2016;2;11
10668;2016;2;16
10668;2019;3;3
10668;2019;2;6
10668;2019;3;0
10668;2019;2;26
10668;2020;4;0
10668;2021;1;0
10668;2021;1;0
10668;2021;1;2
10668;2017;3;5
10668;2017;3;13
10668;2017;4;5
10668;2019;1;2
10668;2014;3;7
10668;2014;3;13
10668;2014;2;11
10668;2014;2;16
10668;2015;5;0
10668;2016;1;1
10668;2016;1;5
10668;2017;2;7
10668;2019;1;0
10668;2020;2;1
10669;2014;4;2
10669;2017;1;9
10669;2017;1;7
10669;2015;4;5
10669;2020;1;0
10669;2020;1;1
10669;2020;1;3
10669;2015;2;11
10669;2015;3;2
10669;2015;3;5
10669;2017;2;9
10669;2018;2;9
10669;2018;2;6
10669;2018;3;0
10669;2018;3;3
10669;2018;4;0
10669;2021;5;11
10669;2015;1;6
10669;2015;1;1
10669;2016;4;4
10669;2016;3;9
10669;2016;3;3
10669;2018;1;3
10669;2018;1;13
10669;2019;5;0
10669;2019;4;3
10669;2021;1;7
10669;2021;1;6
10669;2021;1;0
10669;2014;1;16
10669;2014;1;0
10669;2016;2;7
10669;2016;2;8
10669;2019;3;2
10669;2019;3;4
10669;2019;2;4
10669;2019;2;3
10669;2020;4;0
10669;2017;3;3
10669;2017;3;4
10669;2017;4;4
10669;2019;1;16
10669;2019;1;15
10669;2014;3;2
10669;2014;3;3
10669;2015;5;0
10669;2016;1;9
10669;2016;1;23
10669;2017;2;6
10669;2020;2;3
4114;2014;4;0
4114;2017;1;0
4114;2017;1;2
4114;2015;4;4
4114;2020;1;0
4114;2020;1;0
4114;2020;1;0
4114;2015;2;22
4114;2015;3;7
4114;2015;3;7
4114;2017;2;7
4114;2017;2;8
4114;2018;2;9
4114;2018;2;13
4114;2018;3;4
4114;2018;3;6
4114;2018;4;1
4114;2021;5;0
4114;2015;1;0
4114;2015;1;1
4114;2016;4;0
4114;2016;3;1
4114;2016;3;0
4114;2018;1;2
4114;2018;1;1
4114;2019;5;0
4114;2019;4;1
4114;2021;1;1
4114;2021;1;1
4114;2021;1;4
4114;2016;2;17
4114;2016;2;25
4114;2019;3;0
4114;2019;2;8
4114;2019;2;25
4114;2019;3;3
4114;2020;4;1
4114;2014;3;3
4114;2014;2;19
4114;2014;3;4
4114;2014;2;15
4114;2017;4;4
4114;2017;3;9
4114;2017;3;2
4114;2019;1;0
4114;2019;1;1
4114;2015;5;0
4114;2016;1;1
4114;2016;1;0
4114;2020;5;0
10670;2014;4;2
10670;2017;1;5
10670;2017;1;8
10670;2015;4;1
10670;2018;5;1
10670;2020;1;30
10670;2015;3;1
10670;2015;3;2
10670;2015;2;6
10670;2018;3;1
10670;2018;2;7
10670;2018;4;3
10670;2018;3;7
10670;2021;5;4
10670;2015;1;9
10670;2015;1;9
10670;2016;4;10
10670;2016;3;6
10670;2016;3;12
10670;2018;1;11
10670;2018;1;19
10670;2019;4;0
10670;2019;5;1
10670;2021;1;0
10670;2021;1;15
10670;2021;1;6
10670;2014;1;26
10670;2014;1;13
10670;2016;2;5
10670;2016;2;7
10670;2019;2;1
10670;2019;3;0
10670;2019;3;2
