ad_id;anno_esame;ses_id;num_iscritti
12839;2021;1;0
12839;2021;1;0
12839;2021;1;0
12839;2021;2;0
12840;2021;1;0
12840;2021;2;8
12840;2021;1;38
12840;2021;1;33
12840;2021;1;26
12841;2021;2;14
12841;2021;1;33
12841;2021;1;31
12841;2021;1;28
12845;2021;1;18
12846;2021;1;28
12846;2021;1;36
12846;2021;1;32
4149;2013;3;6
4149;2013;3;4
4149;2015;1;0
4149;2015;1;1
4149;2015;3;6
4149;2015;6;3
4149;2017;1;0
4149;2017;1;9
4149;2017;2;34
4149;2017;2;30
4149;2017;2;23
4149;2017;3;16
4149;2017;4;10
4149;2020;1;55
4149;2020;1;16
4149;2020;1;13
4149;2020;3;3
4149;2020;3;6
4149;2020;3;5
4149;2020;4;3
4149;2020;6;4
4149;2020;2;6
4149;2021;1;1
4149;2013;4;3
4149;2018;2;19
4149;2018;2;9
4149;2018;2;9
4149;2018;3;8
4149;2018;4;7
4149;2014;1;2
4149;2014;1;3
4149;2014;3;40
4149;2014;3;11
4149;2014;4;2
4149;2014;4;4
4149;2014;5;2
4149;2016;2;59
4149;2016;2;22
4149;2016;2;8
4149;2016;3;7
4149;2016;4;4
4149;2017;6;0
4149;2021;1;33
4149;2021;1;33
4149;2021;1;16
4149;2021;2;0
4149;2020;6;2
4149;2013;2;54
4149;2013;2;9
4149;2018;1;44
5193;2020;3;6
5193;2020;1;5
5193;2020;1;6
5193;2020;3;2
5193;2020;1;19
5193;2020;1;25
5193;2020;1;25
5193;2020;3;8
5193;2020;3;6
5193;2020;3;3
5193;2020;4;5
5193;2020;6;5
5193;2020;2;16
5193;2020;6;6
5193;2021;1;16
5193;2021;1;11
5193;2021;1;20
5193;2021;2;14
5193;2021;1;4
5193;2020;3;0
5193;2019;1;6
5193;2019;1;9
5193;2019;3;25
5193;2019;3;18
5193;2019;3;18
5193;2019;4;13
5193;2019;6;19
5193;2019;2;1
5193;2019;5;2
5193;2020;2;1
5194;2020;1;0
5194;2020;1;0
5194;2020;1;0
5194;2020;3;2
5194;2020;3;0
5194;2020;3;2
5194;2020;6;2
5194;2020;2;0
5194;2020;6;3
5194;2021;1;1
5194;2021;1;0
5194;2021;1;0
5194;2021;2;3
5194;2019;1;0
5194;2019;1;0
5194;2019;3;0
5194;2019;3;0
5194;2019;3;0
5194;2019;4;0
5194;2019;6;0
5194;2019;2;0
5194;2019;5;0
5201;2018;6;0
5201;2013;3;9
5201;2013;3;2
5201;2015;1;8
5201;2015;1;28
5201;2014;4;0
5201;2014;1;0
5201;2015;3;5
5201;2015;6;16
5201;2017;1;20
5201;2017;1;46
5201;2017;2;43
5201;2017;2;24
5201;2017;3;23
5201;2017;4;21
5201;2016;4;11
5201;2021;1;0
5201;2021;1;1
5201;2021;2;1
5201;2013;4;24
5201;2016;6;1
5201;2018;5;2
5201;2018;2;32
5201;2018;2;22
5201;2018;2;19
5201;2018;4;13
5201;2014;1;3
5201;2014;1;3
5201;2014;3;8
5201;2014;3;16
5201;2014;4;6
5201;2014;4;5
5201;2014;5;10
5201;2016;2;45
5201;2016;2;6
5201;2016;2;10
5201;2016;3;11
5201;2018;1;19
5201;2018;1;34
5201;2013;2;18
5201;2020;3;0
5201;2015;2;51
5201;2015;2;14
5201;2015;2;20
5203;2017;1;4
5203;2015;6;32
5203;2018;6;1
5203;2020;1;1
5203;2020;6;8
5203;2020;1;3
5203;2020;3;2
5203;2020;3;8
5203;2020;4;10
